Date,Open,High,Low,Close,Adj Close,Volume
2008-01-04,15155.730469,15156.660156,14542.580078,14691.410156,14691.410156,98700000
2008-01-07,14549.379883,14667.849609,14438.610352,14500.549805,14500.549805,139800000
2008-01-08,14429.299805,14547.799805,14365.860352,14528.669922,14528.669922,146800000
2008-01-09,14364.709961,14602.650391,14271.570313,14599.160156,14599.160156,155500000
2008-01-10,14546.320313,14584.730469,14388.110352,14388.110352,14388.110352,130100000
2008-01-11,14419.429688,14447.490234,14096.540039,14110.790039,14110.790039,175500000
2008-01-15,14134.910156,14224.000000,13915.150391,13972.629883,13972.629883,163700000
2008-01-16,13796.730469,13841.929688,13500.589844,13504.509766,13504.509766,204500000
2008-01-17,13596.379883,13803.080078,13472.450195,13783.450195,13783.450195,192900000
2008-01-18,13577.500000,13902.639648,13365.320313,13861.290039,13861.290039,191000000
2008-01-21,13701.429688,13704.650391,13320.509766,13325.940430,13325.940430,152600000
2008-01-22,13125.230469,13125.230469,12572.679688,12573.049805,12573.049805,198900000
2008-01-23,12756.309570,13063.780273,12619.780273,12829.059570,12829.059570,178000000
2008-01-24,12952.500000,13134.769531,12952.500000,13092.780273,13092.780273,189700000
2008-01-25,13258.769531,13647.160156,13248.889648,13629.160156,13629.160156,178800000
2008-01-28,13482.839844,13501.860352,13087.910156,13087.910156,13087.910156,152900000
2008-01-29,13246.690430,13506.809570,13224.660156,13478.860352,13478.860352,147000000
2008-01-30,13500.519531,13514.129883,13271.129883,13345.030273,13345.030273,152400000
2008-01-31,13227.480469,13622.679688,13154.769531,13592.469727,13592.469727,165300000
2008-02-01,13517.740234,13648.389648,13444.080078,13497.160156,13497.160156,142600000
2008-02-04,13642.599609,13889.240234,13642.599609,13859.700195,13859.700195,138100000
2008-02-05,13806.169922,13821.919922,13665.639648,13745.500000,13745.500000,133700000
2008-02-06,13548.530273,13552.190430,13099.240234,13099.240234,13099.240234,176700000
2008-02-07,13077.250000,13244.190430,12972.549805,13207.150391,13207.150391,163000000
2008-02-08,13143.080078,13279.519531,12997.879883,13017.240234,13017.240234,170500000
2008-02-12,12998.870117,13138.280273,12923.419922,13021.959961,13021.959961,147600000
2008-02-13,13162.950195,13240.259766,13036.620117,13068.299805,13068.299805,138800000
2008-02-14,13254.589844,13626.450195,13251.860352,13626.450195,13626.450195,147200000
2008-02-15,13508.530273,13666.679688,13356.389648,13622.559570,13622.559570,154800000
2008-02-18,13627.309570,13822.450195,13627.309570,13635.400391,13635.400391,147100000
2008-02-19,13761.759766,13853.209961,13691.879883,13757.910156,13757.910156,147500000
2008-02-20,13729.750000,13729.750000,13310.370117,13310.370117,13310.370117,163600000
2008-02-21,13462.719727,13783.969727,13439.589844,13688.280273,13688.280273,142900000
2008-02-22,13530.190430,13540.620117,13378.719727,13500.459961,13500.459961,144200000
2008-02-25,13612.309570,13969.179688,13612.309570,13914.570313,13914.570313,152000000
2008-02-26,14036.889648,14053.849609,13803.459961,13824.719727,13824.719727,133800000
2008-02-27,14007.320313,14105.469727,13956.440430,14031.299805,14031.299805,127300000
2008-02-28,13877.879883,13962.299805,13794.709961,13925.509766,13925.509766,118400000
2008-02-29,13735.440430,13738.559570,13533.250000,13603.019531,13603.019531,126600000
2008-03-03,13412.870117,13413.629883,12992.179688,12992.179688,12992.179688,142400000
2008-03-04,13080.290039,13110.389648,12883.070313,12992.280273,12992.280273,138600000
2008-03-05,12973.030273,13044.009766,12919.809570,12972.059570,12972.059570,128900000
2008-03-06,13068.889648,13365.219727,13050.549805,13215.419922,13215.419922,134300000
